sessionid;session_date;visible;split;subjectid;subject;s_cat;female;age;domain;eval_in;eval_out
d9grep4c;2019-10-25;Yes;5:5;4pj0sqgq;1;1;1;20;belong;2;2
d9grep4c;2019-10-25;Yes;5:5;4pj0sqgq;1;1;1;20;common;2;2
d9grep4c;2019-10-25;Yes;5:5;4pj0sqgq;1;1;1;20;liking;2;2
d9grep4c;2019-10-25;Yes;5:5;4pj0sqgq;1;1;1;20;close;2;2
d9grep4c;2019-10-25;Yes;5:5;zu28yj4d;2;2;1;21;belong;5;2
d9grep4c;2019-10-25;Yes;5:5;zu28yj4d;2;2;1;21;common;4;2
d9grep4c;2019-10-25;Yes;5:5;zu28yj4d;2;2;1;21;liking;4;3
d9grep4c;2019-10-25;Yes;5:5;zu28yj4d;2;2;1;21;close;2;2
d9grep4c;2019-10-25;Yes;5:5;e99tzscb;3;1;0;23;belong;7;5
d9grep4c;2019-10-25;Yes;5:5;e99tzscb;3;1;0;23;common;6;5
d9grep4c;2019-10-25;Yes;5:5;e99tzscb;3;1;0;23;liking;7;5
d9grep4c;2019-10-25;Yes;5:5;e99tzscb;3;1;0;23;close;5;5
d9grep4c;2019-10-25;Yes;5:5;yljdywa9;4;2;0;24;belong;3;2
d9grep4c;2019-10-25;Yes;5:5;yljdywa9;4;2;0;24;common;3;3
d9grep4c;2019-10-25;Yes;5:5;yljdywa9;4;2;0;24;liking;4;3
d9grep4c;2019-10-25;Yes;5:5;yljdywa9;4;2;0;24;close;3;3
d9grep4c;2019-10-25;Yes;5:5;4sn9pk43;5;2;1;27;belong;7;3
d9grep4c;2019-10-25;Yes;5:5;4sn9pk43;5;2;1;27;common;7;3
d9grep4c;2019-10-25;Yes;5:5;4sn9pk43;5;2;1;27;liking;7;3
d9grep4c;2019-10-25;Yes;5:5;4sn9pk43;5;2;1;27;close;7;3
d9grep4c;2019-10-25;Yes;5:5;0xwhhw8k;6;2;1;19;belong;4;4
d9grep4c;2019-10-25;Yes;5:5;0xwhhw8k;6;2;1;19;common;4;4
d9grep4c;2019-10-25;Yes;5:5;0xwhhw8k;6;2;1;19;liking;4;4
d9grep4c;2019-10-25;Yes;5:5;0xwhhw8k;6;2;1;19;close;4;4
d9grep4c;2019-10-25;Yes;5:5;74evrgw9;7;1;0;19;belong;2;2
d9grep4c;2019-10-25;Yes;5:5;74evrgw9;7;1;0;19;common;2;2
d9grep4c;2019-10-25;Yes;5:5;74evrgw9;7;1;0;19;liking;4;4
d9grep4c;2019-10-25;Yes;5:5;74evrgw9;7;1;0;19;close;2;2
d9grep4c;2019-10-25;Yes;5:5;h44txp63;8;1;1;20;belong;6;1
d9grep4c;2019-10-25;Yes;5:5;h44txp63;8;1;1;20;common;4;4
d9grep4c;2019-10-25;Yes;5:5;h44txp63;8;1;1;20;liking;5;4
d9grep4c;2019-10-25;Yes;5:5;h44txp63;8;1;1;20;close;4;1
d9grep4c;2019-10-25;Yes;5:5;2k1dp82y;9;1;0;21;belong;6;1
d9grep4c;2019-10-25;Yes;5:5;2k1dp82y;9;1;0;21;common;4;4
d9grep4c;2019-10-25;Yes;5:5;2k1dp82y;9;1;0;21;liking;5;5
d9grep4c;2019-10-25;Yes;5:5;2k1dp82y;9;1;0;21;close;4;2
d9grep4c;2019-10-25;Yes;5:5;v3lltz30;10;2;0;20;belong;2;3
d9grep4c;2019-10-25;Yes;5:5;v3lltz30;10;2;0;20;common;2;3
d9grep4c;2019-10-25;Yes;5:5;v3lltz30;10;2;0;20;liking;4;5
d9grep4c;2019-10-25;Yes;5:5;v3lltz30;10;2;0;20;close;3;4
quldpepe;2019-10-26;No;5:5;eyi5qmuz;1;2;1;19;belong;3;5
quldpepe;2019-10-26;No;5:5;eyi5qmuz;1;2;1;19;common;3;4
